City,Neighborhood,Lat,Lng
Tanger,Jirrari,,
Tanger,El Khair 1,34.9436275,-5.6571942
Tanger,Msala,35.1701228,-5.2653594
Tanger,manar,35.75959,-5.8495551
Tanger,Haddad,35.7384367,-5.8050053
Tanger,Girari,,
Tanger,Marchan,35.7873434,-5.8189344
Tanger,Draoua,,
Tanger,Zouitina,35.732901,-5.8116348
Tanger,Bir El Ghazi,35.7148101,-5.8099652
Tanger,Hay El Boughaz,,
Tanger,Drissia,35.754,-5.8
Tanger,Port Tanger ville,,
Tanger,Hanaa 3 - Soussi,,
Tanger,Souani,35.7700104,-5.8236111
Tanger,Lalla Chafia,35.7714855,-5.8172455
Tanger,Ben Dibane,35.7591081,-5.8261108
Tanger,Al Amal,35.7622384,-5.8194224
Tanger,Hanaa 2,,
Tanger,Cap spartel,35.7915279,-5.9256665
Tanger,Ahammar,35.7485343,-5.8802819
Tanger,Dher Ahjjam,,
Tanger,El Mrabet,35.4142296,-5.3846125
Tanger,Marchane,,
Tanger,El Mers 1,35.7357819,-5.8195504
Tanger,Californie,,
Casablanca,Casablanca Finance City,33.5631545,-7.6604232
Casablanca,Californie,33.5411922,-7.626038
Casablanca,Sidi Maarouf,33.5286123,-7.646462
Casablanca,Racine,33.5896092,-7.6407011
Casablanca,Maârif Extension,33.5796583,-7.6420884
Casablanca,Abdelmoumen,33.5705527,-7.6259823
Casablanca,Gauthier,33.5898333,-7.6306305
Casablanca,Hay Hassani,33.5702887,-7.678495
Casablanca,Maarif,33.5836296,-7.6367005
Casablanca,Errahma,33.5500364,-7.69789
Casablanca,Bachkou,33.5570776,-7.6274253
Casablanca,Bourgogne,33.5985679,-7.6418596
Casablanca,Quartier des Hôpitaux,,
Casablanca,Palmier,33.5810494,-7.6330145
Casablanca,Aïn Borja,33.5803669,-7.5919089
Casablanca,Route d'El Jadida,33.5382701,-7.6623019
Casablanca,Laimoune,,
Casablanca,Roches Noires,33.5931914,-7.5957822
Casablanca,Moulay Youssef,33.6023382,-7.6328871
Casablanca,2 Mars,33.5690979,-7.6127062
Casablanca,Les Princesses,33.5770141,-7.6480351
Casablanca,Val Fleuri,33.5748756,-7.6369836
Casablanca,Almaz,,
Casablanca,Ain Sebaa,33.6059943,-7.5387936
Casablanca,Triangle d'Or,33.5896092,-7.6407011
Casablanca,Oasis,33.5546945,-7.6314184
Casablanca,Lissasfa,33.5314545,-7.6724261
Casablanca,Oulfa,33.551296,-7.6843462
Casablanca,Hay Mohammadi,33.5841444,-7.5569559
Casablanca,Aïn Chock,33.5370603,-7.5981542
Casablanca,Hôrloge,33.5954855,-7.6140136
Casablanca,Autre secteur,,
Casablanca,Sidi Othmane,33.5570072,-7.5603844
Casablanca,Beauséjour,33.5684105,-7.6492935
Casablanca,Al Qods,33.5436704,-7.5819537
Casablanca,Aïn Diab,33.5811626,-7.6843877
Casablanca,Sidi Bernoussi,33.6190686,-7.5003234
Casablanca,Nassim,33.5425088,-7.6521545
Casablanca,La Gironde,33.5877884,-7.6011649
Casablanca,Ferme Bretone,,
Casablanca,Belvédère,33.5854037,-7.5897702
Casablanca,Mers Sultan,33.5698317,-7.6088337
Casablanca,Riviera,33.5621584,-7.6407346
Casablanca,Franceville,33.5622952,-7.629552
Casablanca,Derb Omar,33.0014126,-7.613991
Casablanca,Anfa,33.5945144,-7.6200284
Casablanca,Centre Ville,33.2482831,-8.4984575
Casablanca,Mandarona,33.5325713,-7.6121917
Casablanca,Derb Ghallef,33.2595485,-8.5120311
Casablanca,Ben M'sick,33.5542611,-7.5813658
Casablanca,Sidi Moumen,33.5843834,-7.5072051
Casablanca,Hay Inara,33.537,-7.6
Casablanca,Al Fida,33.5649078,-7.5965827
Casablanca,Al Madina Aljadida,33.5546607,-7.5340457
Casablanca,Sbata,33.5376589,-7.564046
Casablanca,Zone Industrielle,33.6013247,-7.4994285
Casablanca,Marina,33.6059185,-7.6207842
Casablanca,Salmia,33.5380059,-7.5676556
Casablanca,Hay Moulay Rachid,33.2715256,-7.5654525
